class;term;comment
independent continuant;Makasar, Indonesia (Horse);
independent continuant;Yuedong Black, China (Pig);
independent continuant;Yujiang, China (Pig);
independent continuant;Guinea fowl, United Republic of Tanzania (Guinea fowl);
independent continuant;Sandelwood, Indonesia (Horse);
independent continuant;Yili White, China (Pig);
independent continuant;Pintade locale, Togo (Guinea fowl);
independent continuant;Minahasa, Indonesia (Horse);
independent continuant;Yimeng Black, China (Pig);
independent continuant;Syrische geit, Netherlands (Goat);
independent continuant;Nkhanga, Zambia (Guinea fowl);
independent continuant;Sumbawa, Indonesia (Horse);
independent continuant;Bakosi, Cameroon (Pig);
independent continuant;Mamber, Lebanon (Goat);
independent continuant;Grey Quialish, Ukraine (Guinea fowl);
independent continuant;Sumbar-Sandel-Arab, Indonesia (Horse);
independent continuant;Bamiléké, Cameroon (Pig);
independent continuant;Black Bedouin, Kenya (Goat);
independent continuant;Criollo, Bolivia (Plurinational State of) (Guinea pig);
independent continuant;Deccani, India (Horse);
independent continuant;Zhejiang Middle large, China (Pig);
independent continuant;Mamber, Jordan (Goat);
independent continuant;Andina, Peru (Guinea pig);
independent continuant;kuda-Pacu Indonesia, Indonesia (Horse);
independent continuant;locale, Côte d'Ivoire (Pig);
independent continuant;Mamber, Israel (Goat);
independent continuant;Cuy peruano, Chile (Guinea pig);
independent continuant;Kathiawari, India (Horse);
independent continuant;Peruano, Bolivia (Plurinational State of) (Guinea pig);
independent continuant;Kachchhi Sindhi, India (Horse);
independent continuant;Cuy de la patagonia, Chile (Guinea pig);
independent continuant;Kousseri, Cameroon (Pig);
independent continuant;Huacayas, Bolivia (Plurinational State of) (Guinea pig);
independent continuant;Manipuri Pony, India (Horse);
independent continuant;Mankon Long Nose, Cameroon (Pig);
independent continuant;Local Guineafowl of Port Belilé and N'djamena, Chad (Guinea fowl);
independent continuant;Chyangra, Nepal (Goat);
independent continuant;Tibetan, China (Goat);
independent continuant;Myotonic, Canada (Goat);
independent continuant;Mamber, Syrian Arab Republic (Goat);
independent continuant;Jabaly, Saudi Arabia (Goat);
independent continuant;Xiang, China (Pig);
independent continuant;Xiangcheng, China (Pig);
independent continuant;Jaa, Niger (Guinea fowl);
independent continuant;Turáni ló, Hungary (Horse);
independent continuant;Trotter, Hungary (Horse);
independent continuant;Wuzhishan - Shanzhu, China (Pig);
independent continuant;Stiefelgeiß, Switzerland (Goat);
independent continuant;Titri, Pakistan (Guinea fowl);
independent continuant;Batak, Indonesia (Horse);
independent continuant;Xin Huai, China (Pig);
independent continuant;Spanish, United States of America (Goat);
independent continuant;Koural Fataké, Niger (Guinea fowl);
independent continuant;Bali, Indonesia (Horse);
independent continuant;Xinjin - Ningan, China (Pig);
independent continuant;Spanish, Jamaica (Goat);
independent continuant;Impangele, Eswatini (Guinea fowl);
independent continuant;Flores, Indonesia (Horse);
independent continuant;Xiangxi Black, China (Pig);
independent continuant;Sovetskaya Sherstnaya, Uzbekistan (Goat);
independent continuant;Sudanese Guineafowl, Sudan (Guinea fowl);
independent continuant;Bima, Indonesia (Horse);
independent continuant;Xianjuhua, China (Pig);
independent continuant;Local Guineafowl of Gredaya and Massakory, Chad (Guinea fowl);
independent continuant;Jawa, Indonesia (Horse);
independent continuant;Yayang, China (Pig);
