class;term;comment
material entity;Z1.apppa nucleus;nucleus of pedigree Z1.apppa
material entity;Z1.appp nucleus;nucleus of pedigree Z1.appp
material entity;Z1.appapp nucleus;nucleus of pedigree Z1.appapp
material entity;Z1.apppaapp nucleus;nucleus of pedigree Z1.apppaapp
material entity;Z1.apppaapa nucleus;nucleus of pedigree Z1.apppaapa
material entity;Z1.apppaap nucleus;nucleus of pedigree Z1.apppaap
material entity;Z1.apppaaap nucleus;nucleus of pedigree Z1.apppaaap
material entity;Z1.apppaaaa nucleus;nucleus of pedigree Z1.apppaaaa
material entity;Z1.apppaaa nucleus;nucleus of pedigree Z1.apppaaa
material entity;Z1.apppaa nucleus;nucleus of pedigree Z1.apppaa
material entity;Z1.ap nucleus;nucleus of pedigree Z1.ap
material entity;Z1.a nucleus hermaphrodite;nucleus of pedigree Z1.a in hermaphrodite.
material entity;Z1.appapa nucleus;nucleus of pedigree Z1.appapa
material entity;Z1.appap nucleus;nucleus of pedigree Z1.appap
material entity;Z1.appaap nucleus;nucleus of pedigree Z1.appaap
material entity;Z1.appaaa nucleus;nucleus of pedigree Z1.appaaa
material entity;Z1.appaa nucleus;nucleus of pedigree Z1.appaa
material entity;Z1.appa nucleus;nucleus of pedigree Z1.appa
material entity;Z1.app nucleus;nucleus of pedigree Z1.app
material entity;Z1.apa nucleus;nucleus of pedigree Z1.apa
material entity;MSpppaap nucleus;nucleus of pedigree MSpppaap
material entity;Y.pr nucleus;nucleus of pedigree Y.pr
material entity;Y.prppv nucleus;nucleus of pedigree Y.prppv
material entity;Y.prppd nucleus;nucleus of pedigree Y.prppd
material entity;Y.prpp nucleus;nucleus of pedigree Y.prpp
material entity;Y.prpa nucleus;nucleus of pedigree Y.prpa
material entity;Y.prp nucleus;nucleus of pedigree Y.prp
material entity;Y.prap nucleus;nucleus of pedigree Y.prap
material entity;Y.praa nucleus;nucleus of pedigree Y.praa
material entity;Y.pra nucleus;nucleus of pedigree Y.pra
material entity;Y.plppv nucleus;nucleus of pedigree Y.plppv
material entity;Y.plpp nucleus;nucleus of pedigree Y.plpp
material entity;Y.plpa nucleus;nucleus of pedigree Y.plpa
material entity;Y.plp nucleus;nucleus of pedigree Y.plp
material entity;Y.plap nucleus;nucleus of pedigree Y.plap
material entity;Y.plaa nucleus;nucleus of pedigree Y.plaa
material entity;Y.pla nucleus;nucleus of pedigree Y.pla
