class;term;comment
process;regulation;A regulation represents a regulatory interaction between two interactors.
process;protein-protein interaction;an interaction between two proteins.
process;autophosphorylation;a phosphorylation process that adds a phosphate to a protein kinase (possibly affecting its activity) by virtue of its own enzymic activity.
process;epithelial cell-pathogen protein-protein interaction;
process;regulation of translation;a gene expression regulation process that involves the regulation of a protein translation process.
process;recruitment;a positive regulation that leads the recruitment of one interactor from one location to another.
process;attenuation;a negative regulation that attenuates the virulence of a pathogenic microbe.
process;regulation of transcription;a gene expression regulation process that involves the regulation of a gene transcription.
process;reactivation;an activation that repeats.
process;regulation of protein location;a regulation process that regulates the location of a protein
process;epithelial cell-pathogen interaction;An host cell-pathogen interaction where the host is an epithelial cell
process;gene-enviroment interaction;an interaction that involves a gene and its environment (e.g., calcium in blood).
material entity;output interactor;an interactor that is an output of an interaction.
role;hygiene factor role;an input interactor role that is borne by a material entity (e.g. status, job security, salary and fringe benefits) that do not motivate if present, but, if absent, result in demotivation.
process;antagonism;a biochemical binding where a substance binds to the same site an agonist would bind to without causing activation of the receptor
process;protein activation by mutant;an activation process where one protein is activated by a gene mutant
process;prevention;
process;cell-cell interaction;a biological interaction that involves two cells as interactors.
process;precedence;an indirect association that one interactor is preceded by another interactor.
process;protein activation;an activation process where one protein is activated by a material entity
role;motivator role;an input interactor role that is borne by a material entity that motivates a process.
process;gene-cell interaction;an interaction that includes a gene and a cell as interactors.
process;macrophage-pathogen interaction;An host cell-pathogen interaction where the host is a macrophage cell
process;activation;a positive regulation that one interactor activates another.
role;deactivator role;a negative regulator role that is borne by a material entity that deactivates, inhibits, blocks, or disrupts the action of a biological agent (e.g., enzyme).
process;human molecular interaction;an interaction involving human molecules
material entity;negative regulator;an interaction regulator that negatively regulates an interaction.
process;up-regulation of secretion;an up-regulation that one interactor up-regulates the secretion of another interactor.
process;host-pathogen mutant interaction;An host-pathogen interaction where the pathogen is a gene mutant
process;human molecular pathway;a pathway that exists in human body.
process;oxidation;
material entity;positive regulator;an interaction regulator that positively regulates an interaction.
process;neutralization;a biochemical reaction that one interactor neutrolizes another.
process;two-way interaction;A two-way interaction is an interaction that includes two different directions among two interactors.
process;organism-organism interaction;a biological interaction that occurs in the organism level.
material entity;activator;a positive interaction regulator that activates an interaction.
process;macrophage-pathogen PPI inducing cell death;A macrophage-pathogen protein-protein interaction that induces cell death.
material entity;interactor;an interactor is a material entity that participates in an interaction.
role;negative regulator role;an interactor role that is borne by a material entity that negatively regulates an interaction.
role;interactor role;a role that is borne by a material entity to act as a participant in an interaction process.
process;competition;an indirect association that one interactor competes with another interactor in a specfiic process.
process;termination;a negative regulation that leads to a process termination.
process;conversion;a direct physical association that one interactor is converted from another interactor.
process;controling;a regulation that one interactor controls the quality of another interactor to a specific range
process;tyrosine-phosphorylation;
process;downexpression;a gene expression that has decreased volume.
process;regulation of protein activity;a regulation process that regulates an activity of a protein
process;translocation;A process that changes the location of a material entity.
